district,freq,strategy,bins_adoption,exposure_hours,effective_exposure,gi_tons
MN11,3,PM,0.3,13,10.66,157.3309573754084
MN01,3,PM,0.5,13,9.1,282.0713348627393
MN10,2,PM,0.3,13,10.66,229.25368074702365
MN02,2,PM,0.5,13,9.1,249.28710037252975
MN03,2,AM,0.5,11,7.699999999999999,474.8708774440682
MN08,2,PM,0.3,13,10.66,212.39679245680134
MN07,2,PM,0.3,13,10.66,225.6414903991189
MN06,3,AM,0.3,11,9.020000000000001,168.71412221684363
MN04,2,AM,0.5,11,7.699999999999999,224.69204919355414
MN09,2,PM,0.3,13,10.66,274.3222991602299
MN12,2,PM,0.5,13,9.1,210.51446972407564
MN05,2,AM,0.5,11,7.699999999999999,181.7048527069785
