lambda_fair,epsilon_mad,total_service_tons,min_service_ratio
50,0.05,26137.500099999997,0.8
50,0.08,22958.61482,0.8
50,0.1,21236.71907,0.8
50,0.12,19909.55152,0.8
100,0.05,26137.500099999997,0.8
100,0.08,22958.61482,0.8
100,0.1,21236.71907,0.8
100,0.12,19909.55152,0.8
150,0.05,26137.500099999997,0.8
150,0.08,22958.61482,0.8
150,0.1,21236.71907,0.8
150,0.12,19909.55152,0.8
200,0.05,26137.500099999997,0.8
200,0.08,22958.61482,0.8
200,0.1,21236.71907,0.8
200,0.12,19909.55152,0.8
300,0.05,26137.500099999997,0.8
300,0.08,22958.61482,0.8
300,0.1,21236.71907,0.8
300,0.12,19909.55152,0.8
