district,trucks_needed_2x_est,trucks_after_bins,steady_rat,steady_rat_after_bins
MN11,23,15.272,15941.21191022567,9564.727146135401
MN01,47,30.079999999999995,16927.530405532252,10156.518243319351
MN10,22,14.819199999999999,16609.935775080907,9965.961465048544
MN02,28,18.323200000000003,16742.69406271139,10045.616437626833
MN03,62,38.7872,17566.83857780522,10540.103146683132
MN08,20,13.952,16483.70771821213,9890.224630927276
MN07,22,15.136000000000001,16584.09361989526,9950.456171937154
MN06,29,19.256,16073.88319589722,9644.329917538333
MN04,30,19.056,16577.19650869656,9946.317905217937
MN09,26,18.512,16886.99829337434,10132.198976024605
MN12,24,15.705600000000002,16468.67460828432,9881.204764970591
MN05,24,15.475200000000001,16210.60734332922,9726.364405997532
